,date,volumeto,close,bitcoin,num_tweets
2093,2020-01-01,187393954.35,6965.72,6.84,13987.0
2094,2020-01-02,376690440.38,7339.7,7.08,15920.0
2095,2020-01-03,162106895.05,7357.5,7.8,19730.0
2096,2020-01-04,179147746.87,7359.96,6.96,16357.0
2097,2020-01-05,352286216.6,7762.69,6.96,16533.0
2098,2020-01-06,600054472.25,8160.36,7.92,16540.0
2099,2020-01-07,699004342.7,8045.15,10.68,20950.0
2100,2020-01-08,316199456.84,7817.35,12.0,20820.0
2101,2020-01-09,441131626.25,8190.31,8.64,20500.0
2102,2020-01-10,250060123.9,8024.58,8.16,18266.0
2103,2020-01-11,142197585.82,8181.49,7.319999999999999,15900.0
2104,2020-01-12,184437465.66,8106.56,6.96,14383.0
2105,2020-01-13,768098459.01,8820.95,7.199999999999999,15305.0
2106,2020-01-14,441186933.78,8813.21,11.88,20772.0
2107,2020-01-15,290989712.92,8719.63,11.4,18142.0
2108,2020-01-16,432856377.78,8894.83,9.0,18513.0
2109,2020-01-17,176837362.25,8909.28,9.24,17272.0
2110,2020-01-18,421483277.31,8702.59,8.16,17651.0
2111,2020-01-19,189247381.47,8634.03,9.24,20557.0
2112,2020-01-20,196404470.17,8724.84,8.4,18586.0
2113,2020-01-21,149906743.85,8667.26,8.16,19285.0
2114,2020-01-22,323273085.37,8394.28,7.68,19401.0
2115,2020-01-23,233502998.73,8431.78,7.56,18546.0
2116,2020-01-24,119345600.29,8345.88,7.319999999999999,16643.0
2117,2020-01-25,189985702.21,8602.37,6.48,13919.0
2118,2020-01-26,329416202.64,8898.94,6.359999999999999,14485.0
2119,2020-01-27,471220882.55,9391.97,8.04,18223.0
2120,2020-01-28,345265419.21,9286.18,9.72,20422.0
2121,2020-01-29,430815723.66,9501.38,10.2,22062.0
2122,2020-01-30,292627757.98,9342.23,10.2,18452.0
2123,2020-01-31,138614091.6,9384.45,9.0,17685.0
2124,2020-02-01,225322638.39,9334.25,8.260000000000002,15818.0
2125,2020-02-02,312315107.48,9288.96,8.260000000000002,75543.0
2126,2020-02-03,244997961.95,9171.98,8.680000000000001,32917.0
2127,2020-02-04,448381299.88,9611.42,9.24,28537.0
2128,2020-02-05,410313693.85,9755.84,10.500000000000002,34975.0
2129,2020-02-06,249852208.28,9808.36,11.62,30260.0
2130,2020-02-07,244352034.45,9898.25,9.8,25577.0
2131,2020-02-08,340301629.71,10157.78,9.1,22495.0
2132,2020-02-09,406256357.82,9858.03,13.86,38674.0
2133,2020-02-10,495614708.0,10269.43,12.18,27170.0
2134,2020-02-11,449510878.91,10347.93,12.6,28117.0
2135,2020-02-12,507955951.95,10233.32,14.000000000000002,28341.0
2136,2020-02-13,297409586.88,10360.37,12.6,26869.0
2137,2020-02-14,300819428.52,9905.43,10.080000000000002,25754.0
2138,2020-02-15,272176494.52,9925.51,9.66,23918.0
2139,2020-02-16,359702988.14,9702.48,9.24,23996.0
2140,2020-02-17,382869718.91,10182.6,10.920000000000002,25279.0
2141,2020-02-18,473100344.44,9602.43,10.64,29623.0
2142,2020-02-19,352949373.64,9608.8,11.340000000000002,31627.0
2143,2020-02-20,293546157.49,9697.86,10.920000000000002,26789.0
2144,2020-02-21,118171544.81,9671.46,9.52,23685.0
2145,2020-02-22,228093371.59,9977.39,7.98,24088.0
2146,2020-02-23,331102536.15,9664.21,8.260000000000002,25803.0
2147,2020-02-24,329372824.71,9316.18,10.22,28829.0
2148,2020-02-25,588359496.49,8793.5,9.94,27251.0
2149,2020-02-26,413657559.37,8821.5,12.32,27388.0
2150,2020-02-27,360795192.37,8719.29,11.62,25882.0
2151,2020-02-28,146455562.43,8545.45,12.18,25289.0
2152,2020-02-29,219324311.08,8549.38,8.96,22884.0
2153,2020-03-01,290280969.41,8919.74,4.75,22847.0
2154,2020-03-02,252211805.89,8765.68,5.51,25876.0
2155,2020-03-03,194233894.05,8773.78,5.13,25782.0
2156,2020-03-04,305196274.33,9074.82,5.32,27221.0
2157,2020-03-05,192168163.64,9160.39,5.7,26232.0
2158,2020-03-06,187063951.77,8903.72,5.51,22285.0
2159,2020-03-07,533371350.28,8057.67,4.37,19205.0
2160,2020-03-08,682781069.24,7944.4,4.94,19627.0
2161,2020-03-09,427332546.47,7894.66,9.88,31167.0
2162,2020-03-10,372704355.27,7945.36,7.6,24544.0
2163,2020-03-11,1769476928.68,4916.78,6.46,23550.0
2164,2020-03-12,1663092005.9,5632.58,14.06,44735.0
2165,2020-03-13,474539626.45,5181.77,19.0,43020.0
2166,2020-03-14,568696762.62,5357.02,12.35,22922.0
2167,2020-03-15,996661883.31,5045.0,10.64,22102.0
2168,2020-03-16,618671971.75,5337.66,13.68,27432.0
2169,2020-03-17,576456805.62,5413.06,11.4,26159.0
2170,2020-03-18,868668216.67,6184.88,10.64,26644.0
2171,2020-03-19,947038097.64,6206.44,11.4,29033.0
2172,2020-03-20,415771088.67,6195.43,11.21,28150.0
2173,2020-03-21,457211401.95,5828.15,9.69,25403.0
2174,2020-03-22,667919370.22,6503.53,8.36,27844.0
2175,2020-03-23,700444488.16,6767.18,9.31,28657.0
2176,2020-03-24,566264216.07,6694.21,9.31,31076.0
2177,2020-03-25,302121295.09,6757.95,8.17,26878.0
2178,2020-03-26,381303011.52,6382.8,7.6,24772.0
2179,2020-03-27,378476570.98,6252.49,7.22,24128.0
2180,2020-03-28,286789900.17,5882.2,7.41,20983.0
2181,2020-03-29,445848282.11,6403.31,7.03,22187.0
2182,2020-03-30,233613490.19,6423.61,7.22,24425.0
2183,2020-03-31,377164250.74,6663.63,6.65,24944.0
2184,2020-04-01,635319847.54,6804.42,8.16,27700.0
2185,2020-04-02,379639119.54,6743.68,9.92,29947.0
2186,2020-04-03,230044243.33,6875.95,8.96,33185.0
2187,2020-04-04,182019861.58,6781.64,8.16,28502.0
2188,2020-04-05,560075869.57,7347.22,7.36,25533.0
2189,2020-04-06,516422836.71,7201.57,9.92,32118.0
2190,2020-04-07,445330043.76,7367.37,10.08,32171.0
2191,2020-04-08,321287689.9,7294.55,8.96,30033.0
2192,2020-04-09,440132415.16,6876.49,8.48,29133.0
2193,2020-04-10,171352839.69,6887.6,9.28,28128.0
2194,2020-04-11,297514761.29,6913.76,8.64,22432.0
2195,2020-04-12,426458894.19,6859.43,8.0,23749.0
2196,2020-04-13,307409556.74,6879.44,9.12,26814.0
2197,2020-04-14,336722796.75,6629.54,8.64,31671.0
2198,2020-04-15,685621725.46,7114.55,8.32,28889.0
2199,2020-04-16,324325510.78,7037.12,9.28,30583.0
2200,2020-04-17,258251102.86,7264.29,8.32,28790.0
2201,2020-04-18,211422409.66,7132.88,7.84,25279.0
2202,2020-04-19,452319848.99,6842.45,7.84,25819.0
2203,2020-04-20,305844254.34,6855.11,8.32,34822.0
2204,2020-04-21,308254465.67,7135.41,8.32,32492.0
2205,2020-04-22,599195847.97,7489.25,8.0,30981.0
2206,2020-04-23,389027134.45,7509.44,9.28,35498.0
2207,2020-04-24,227962632.37,7546.92,9.44,32567.0
2208,2020-04-25,251857766.26,7701.35,8.64,33355.0
2209,2020-04-26,374439201.77,7787.41,8.8,33495.0
2210,2020-04-27,297442241.62,7760.32,9.28,39379.0
2211,2020-04-28,1324299206.24,8784.96,8.8,41546.0
2212,2020-04-29,1439132256.65,8637.56,13.6,48269.0
